ID,Text,Comment
Knatte.PillarTop.Description,"平台的顶板，可以单独使用，或者和支柱组合使用。",-
Knatte.StaircasePlatform.DisplayName,"组合平台",-
Knatte.StaircasePlatform.Description,"平台的顶板，由单独平台和坚固支柱组合而成，可以单独使用，或者和支柱组合使用。",-
Knatte.StaircasePlatform.FlavorDescription,"“来造更大的平台吧！”——海狸建筑工",-

#3277709718_Dirt_1.7.0
Good.EcologicalPlank.PluralDisplayName,"木板+泥土",-
Good.Dust.PluralDisplayName,"泥土",-
Grease.CriticalDescription,"需要松脂才能运作",-
Need.Grease.DeathMessage,"由于缺乏松脂而生锈",-
Building.NaturalOverhang1.Description,"突出的岩石平台，可用作桥梁或其他建筑物的地基。可防止水渗漏。",-
Building.NaturalOverhang12.Description,"突出的岩石平台，可用作桥梁或其他建筑物的地基。可防止水渗漏。",-
Building.NaturalOverhang1x11.DisplayName,"石墙 1x1","该结构是一个坚固的岩石悬垂。末尾的数字表示尺寸 X 乘 Y。"
Building.NaturalOverhang2x11.DisplayName,"石悬垂 2x1","该结构是一个坚固的岩石悬垂。末尾的数字表示尺寸 X 乘 Y。"
Building.NaturalOverhang3x11.DisplayName,"石悬垂 3x1","该结构是一个坚固的岩石悬垂。末尾的数字表示尺寸 X 乘 Y。"
Building.NaturalOverhang4x11.DisplayName,"石悬垂 4x1","该结构是一个坚固的岩石悬垂。末尾的数字表示尺寸 X 乘 Y。"

#3278482507_Bench_1.2.0
Need.Bench.DisplayName,"疲倦",-
Need.Bench.CriticalDescription,"需要在长椅上休息。",-
Status.Need.Tired.Short,"海狸很疲倦",-

#3279640818_Frog_Statue_2.0.5
Knatte.FrogStatue.DisplayName,"青蛙雕像",-
Knatte.FrogStatue.Description,"供海狸祈求雨水的地方。",-
Knatte.FrogStatue.FlavorDescription,"愿天降甘霖。",已修复以匹配官方样式
Knatte.FrogStatue.DisplaynameLocKey,"青蛙雕像",-

#3281653061_1x1x2Storage_2.3.5
Lapantouflemagic.Pitwarehouse.DisplayName,"双层小仓库",-
Lapantouflemagic.Pitwarehouse.Description,"节省空间，但需要用楼梯爬上去。",-
Lapantouflemagic.Pitwarehouse.FlavorDescription,"“希望仓底的东西不要腐烂。”——美食家汤姆",-
Lapantouflemagic.Pitpile.DisplayName,"双层小型材料堆",-
Lapantouflemagic.Pitpile.Description,"节省空间，但需要用楼梯爬上去。",-
Lapantouflemagic.Pitpile.FlavorDescription,"“噢，是一个藏东西的好地方。”——开膛爪杰克",-
Lapantouflemagic.SCoveredtank.DisplayName,"小型工业储存罐",-
Lapantouflemagic.SCoveredtank.Description,"容量较小，但可以在上面建造其他建筑。",-
Lapantouflemagic.Longwarehouse.DisplayName,"两格小仓库",-
Lapantouflemagic.Longwarehouse.Description,"充分利用空间，适合建造在不规则的地方。",-
Lapantouflemagic.Longwarehouse.FlavorDescription,"“我还以为他们会设计得更奇怪一些。”——海狸采集工",-
Lapantouflemagic.2x2pile.DisplayName,"中型材料堆",-
Lapantouflemagic.2x2pile.FlavorDescription,"“要注意交替摆放！”——海狸搬运工",-
Lapantouflemagic.Longpile.DisplayName,"两格小型材料堆",-
Lapantouflemagic.Longpile.Description,"充分利用空间，适合建造在不规则的地方。",-
Lapantouflemagic.Longpile.FlavorDescription,"“我想知道他们还能设计出什么形状。”——海狸伐木工",-
Lapantouflemagic.PitTank.DisplayName,"双层小型储存罐",-
Lapantouflemagic.PitTank.FlavorDescription,"“不要把水箱(tank)弄丢了，人类曾经用这玩意来打仗。”——海狸学者",-
Lapantouflemagic.SCoveredtank.FlavorDescription,"“虽然小了点，但能保持干净。”——海狸水泵工",-
Lapantouflemagic.GigargantuanPile.DisplayName,"巨型材料堆",-
Lapantouflemagic.GigargantuanWarehouse.DisplayName,"巨型仓库",-
Lapantouflemagic.GigargantuanStorage.Description,"容量巨大，但需要楼梯从底部进入。<br><color=#FFFF00>只有四个角的3x3部分需要支撑，中间可以建造垂直楼梯连通上下。</color>",-
Lapantouflemagic.GigargantuanStorage.FlavorDescription,"希望远亲们给的玻璃板没有放射性……",-
Lapantouflemagic.GigargantuanStorageWP.Description,"容量巨大，但需要楼梯从底部进入。<br><color=#FFFF00>只有四个角的3x3部分需要支撑，中间有垂直楼梯连通上下。</color>",-
Lapantouflemagic.GigargantuanStorageWP.FlavorDescription,"免费送给你们了……安不安全？当然安全！",-

#3281774771_Logstairs_2.1.1
Lapantouflemagic.logstairs.DisplayName,棕色原木楼梯,-
Lapantouflemagic.Birchlogstairs.DisplayName,桦木原木楼梯,-
Lapantouflemagic.Scramblelogstairs.DisplayName,拼接原木楼梯,-
Lapantouflemagic.logstairs.Description,一堆原木拼成的原始楼梯,-
Lapantouflemagic.logstairs.FlavorDescription,"""这就是为什么我们需要教育"" 
—一只科学家海狸",-
Lapantouflemagic.Crappyplatform_brown.DisplayName,棕色劣质平台,-
Lapantouflemagic.Crappyplatform_birch.DisplayName,桦木劣质平台,-
Lapantouflemagic.Crappyplatform_scramble.DisplayName,拼接劣质平台,-
Lapantouflemagic.Crappyplatform.Description,一个令海狸族羞耻的糟糕平台,-
Lapantouflemagic.Crappyplatform.FlavorDescription,"""这也是为什么我们需要教育"" 
—一只科学家海狸",-
Logstairs.Logstairsgroup.Description,原木楼梯,-
Logstairs.Crappyplatforms.Description,劣质平台,-

#3282276626_Path_Extention_2.0.11
KnatteTobbert.Tunnel_1.DisplayName,"隧道 1x1",-
KnatteTobbert.Tunnel_2.DisplayName,"隧道 2x1",-
KnatteTobbert.Tunnel_3.DisplayName,"隧道 3x1",-
KnatteTobbert.Tunnel_4.DisplayName,"隧道 4x1",-
KnatteTobbert.Tunnel_5.DisplayName,"隧道 5x1",-
KnatteTobbert.Tunnel_6.DisplayName,"隧道 6x1",-
KnatteTobbert.Tunnel_7.DisplayName,"隧道 7x1",-
KnatteTobbert.Tunnel_8.DisplayName,"隧道 8x1",-
KnatteTobbert.Tunnel_9.DisplayName,"隧道 9x1",-
KnatteTobbert.Tunnel_1L.DisplayName,"穿堤隧道",-
KnatteTobbert.Tunnel_1L.Description,"帮助海狸穿过防洪堤。",-
KnatteTobbert.Tunnel.Description,"帮助海狸穿过山岭。",-
KnatteTobbert.Tunnel.FlavorDiscription,"“这里好黑呀！”——海狸宝宝",-
KnatteTobbert.CategoryTunnel.DisplayName,"隧道",-
KnatteTobbert.CategoryTunnel.Description,"穿过山岭的隧道",-
KnatteTobbert.CategorySBridges.DisplayName,"钢桥",-
KnatteTobbert.CategorySBridges.Description,"跨过山岭的桥梁",-
KnatteTobbert.CategorySuspensionBridges.DisplayName,"吊桥",-
KnatteTobbert.Bridge_1.DisplayName,"钢桥 1x1",-
KnatteTobbert.Bridge_2.DisplayName,"钢桥 2x1",-
KnatteTobbert.Bridge_3.DisplayName,"钢桥 3x1",-
KnatteTobbert.Bridge_4.DisplayName,"钢桥 4x1",-
KnatteTobbert.Bridge_5.DisplayName,"钢桥 5x1",-
KnatteTobbert.Bridge_6.DisplayName,"钢桥 6x1",-
KnatteTobbert.Bridge_7.DisplayName,"钢桥 7x1",-
KnatteTobbert.Bridge_8.DisplayName,"钢桥 8x1",-
KnatteTobbert.Bridge_9.DisplayName,"钢桥 9x1",-
KnatteTobbert.Bridge_10.DisplayName,"钢桥 10x1",-
KnatteTobbert.Bridge.Description,"帮助海狸跨过山岭。上面可以铺设道路或建造传动轴。",-
KnatteTobbert.BridgeF.Description,"帮助海狸跨过山岭。上面可以铺设道路或建造传动轴。",-
KnatteTobbert.Bridge.FlavorDiscription,"“这里好高啊！”——海狸宝宝",-
Knatte.SmallGate.DisplayName,"地区交汇门",-
Knatte.SmallGate.Description,"平衡两个相连地区之间的货物。每个地区都有自己的劳工，在地区交汇门和地区的其他地方运送物品。",-
Knatte.SmallGate.FlavorDescription,"地区交汇点，你的老祖宗回来了！",-
Knatte.DecoSmallGate.DisplayName,"拱门",-
Knatte.DecoSmallGate.Description,"一个装饰门，来自海狸的古老年代。",-
Knatte.MetalPillar.DisplayName,"金属支柱",-
Knatte.MetalPillars.DisplayName,"双重金属支柱",-
Knatte.MetalPillar.Description,"用金属建造的平台支柱，可以作为其他建筑的支撑。",-
Knatte.MetalPillar.FlavorDescription,"“来打桩吧！”——海狸建筑工",-
Knatte.MetalPlatform.DisplayName,"金属平台",-
Knatte.MetalPlatform.Description,"用金属建造的平台，可以作为桥梁，或者其他建筑的地基。",-
Knatte.MetalPlatform.FlavorDescription,"为什么它的缩略图这么小？",基础游戏文本
Knatte.MetalPlatform5x3.DisplayName,"金属平台 5x3",-
Knatte.MiddleOverhang3x1.DisplayName,"双向悬挑 3x1",-
Knatte.MiddleOverhang4x1.DisplayName,"双向悬挑 4x1",-
Knatte.MiddleOverhang5x1.DisplayName,"双向悬挑 5x1",-
Knatte.MiddleOverhang7x1.DisplayName,"双向悬挑 7x1",-
Knatte.MiddleOverhang.Description,"朝两个方向突出的平台，可以作为桥梁，或者其他建筑的地基。",-
Knatte.MiddleOverhang.FlavorDescription,"你想去哪边，左边还是右边？",-
Knatte.ArcOverhang3x1.DisplayName,"拱形悬挑 3x1",-
Knatte.ArcOverhang4x1.DisplayName,"拱形悬挑 4x1",-
Knatte.ArcOverhang5x1.DisplayName,"拱形悬挑 5x1",-
Knatte.ArcOverhang6x1.DisplayName,"拱形悬挑 6x1",-
Knatte.ArcOverhang.Description,"两侧都有支柱的平台，可以作为桥梁，或者其他建筑的地基。",-
Knatte.ArcOverhang.FlavorDescription,"摇啊摇，摇到外婆桥。",-
Knatte.Aque_MetalBigPillarBase.DisplayName,"水渠承重柱底座",-
Knatte.Aque_MetalBigPillarMid.DisplayName,"水渠承重柱中段",-
Knatte.Aque_MetalBigPillarTop.DisplayName,"水渠承重柱顶部",-
Knatte.Aque_MetalBigPillar.Description,"水渠的支柱，根据需要分成了多个结构。<br><color=#FFFF00>顶部结构可以容纳平台和悬挑的支柱部分。</color><br><color=#FF6600>水渠在水利拓展mod内 (Water Extention) 。</color>",-
Knatte.Aque_MetalBigPillar.FlavorDescription,"为什么它的缩略图这么小？",基础游戏文本
Knatte.MetalBigPillarBase.DisplayName,"金属承重柱底座",-
Knatte.MetalBigPillarMid.DisplayName,"金属承重柱中段",-
Knatte.MetalBigPillarTop.DisplayName,"金属承重柱顶部",-
Knatte.MetalBigPillar.Description,"旧式金属平台的支柱，根据需要分成了多个结构。<br><color=#FFFF00>顶部结构可以容纳平台和悬挑的支柱部分。</color>",-
Knatte.MetalBigPillar.FlavorDescription,"为什么它的缩略图这么小？",基础游戏文本
//,//,
Knatte.DecoSmallGate.FlavorDescription,"“很久以前，我们还没有那么多海狸……”",-

#3282307053_Beaverpower_1.1
Mechanical.PowerCapacityPerMeter,"狸力时/米",代表海狸功率小时每米 - 用于描述电池容量。bph 应与 Mechanical.PowerCapacitySymbol 相同。
Mechanical.PowerCapacitySymbol,"狸力时",请保持简短。代表海狸功率小时（类似于千瓦时）；应保持相似。
Mechanical.PowerSymbol,"狸力",请保持简短。代表海狸功率；应保持相似。
Mechanical.PowerSymbolPerFlow,"狸力/立方米每秒",请保持简短。代表每立方米每秒的海狸功率；bp 应与 Mechanical.PowerSymbol 相同。

#3283831040_Mod_Settings_0.6.8.6
ModSettingsBox.ResetMessage,"你想将所有设置重置为默认值吗？",-
ModSettingsBox.ResetToDefault,"重置为默认值",-

#3284067782_MorePlants_!_MapEditor_2.0.8
MapMakerPlants.GiantSequoia.DisplayName,"巨杉 3x3",-
MapMakerPlants.2X2treePlaceholder1.DisplayName,"问号 2x2",-
MapMakerPlants.Brambles.DisplayName,"野生荆棘",-
MapMakerPlants.NewVineV.DisplayName,"葡萄藤",-
MapMakerPlants.NewVineH.DisplayName,"葡萄藤",-
MapMakerPlants.Waterbamboo.DisplayName,"巨竹 2x2",-
MapMakerPlants.Baobab.DisplayName,"猴面包树 5x5",-
MapMakerPlants.LemonTree.DisplayName,"柠檬树",-
MapMakerPlants.PinkBirch.DisplayName.DisplayName,"椿树",-
MapMakerPlants.RuinedPath.DisplayName,"破损的道路",-
MapMakerPlants.BrokenHouse.DisplayName,"破损的原木建筑",-
MapMakerPlants.PlankRuin.DisplayName,"破损的木板建筑",-

#3285106530_Dirty_Mouths_2.0.5
battery.DirtyMouths.WashStation.DisplayName,"漱口站",-
battery.DirtyMouths.WashStation.Description,"一个小型喷水池，嘴巴脏了和嘴脏了的海狸都可以来这里清洗一下。",-
battery.DirtyMouths.WashStation.FlavorDescription,"我没有说那个——咕噜噜噜……",-
battery.DirtyMouths.UI.Button,"你不干净！",-
battery.DirtyMouths.Need.DisplayName,"脏嘴巴",-
battery.DirtyMouths.CriticalNeed.Text,"海狸的嘴巴脏了。",-

#3285720709_Water_Extention_2.2.2
Knatte.WE_IrrigationExtractFuel.DisplayName,"促生长灌溉",-
Knatte.WE_IrrigationFuel.DisplayName,"灌溉",-
Knatte.IrrigationTower.DisplayName,"灌溉塔",-
Knatte.IrrigationTower.Description,"灌溉周围的土地。耗水量与灌溉面积相关。<br><color=#FF6600>只能灌溉同一平面且不被地形起伏分隔的土地。</color>",-
Knatte.IrrigationTower.FlavorDescription,"在干旱的日子里，灌溉塔还是很有必要的。",游戏设定在一个变成干旱荒地的地球上。
Knatte.IrrigationTowerV2_FT.DisplayName,"促生长灌溉塔",-
Knatte.IrrigationTowerV2_FT.Description,"拥有更大的灌溉面积，且能使用提取物促进作物和树木生长。耗水量与灌溉面积相关。<br><color=#FF6600>只能灌溉同一平面且不被地形起伏分隔的土地。</color>",-
Knatte.IrrigationTowerV2_IT.DisplayName,"防污染灌溉塔",-
Knatte.IrrigationTowerV2_IT.Description,"消耗能量实现自动运转，且能阻止土壤污染。耗水量与灌溉面积相关。<br><color=#FF6600>只能灌溉同一平面且不被地形起伏分隔的土地。</color>",-
Knatte.IrrigationTowerV2.FlavorDescription,"为了这个功能，某位科学家的胡子都掉光了。",游戏设定在一个变成干旱荒地的地球上。
Knatte.BigIrrigationTower.DisplayName,"大型灌溉塔",-
Knatte.BigIrrigationTowerIT.Description,"灌溉面积非常巨大。耗水量与灌溉面积相关。<br><color=#FF6600>只能灌溉同一平面且不被地形起伏分隔的土地。</color>",-
Knatte.BigIrrigationTowerFT.Description,"灌溉面积非常巨大。耗水量与灌溉面积相关。<br><color=#FF6600>只能灌溉同一平面且不被地形起伏分隔的土地。</color>",-
Knatte.BigIrrigationTower.FlavorDescription,"“一，二，吸！一，二，放！”",-
Knatte.IndWaterTank.DisplayName,"大型工业储水箱",-
Knatte.IndWaterTank.Description,"储存液体，可以在上面建造其他建筑。<br><color=#FF6600>部分表面能传输能量。</color>",-
Knatte.Pipe5X.DisplayName,"管道泵 5x1",-
Knatte.Pipe10X.DisplayName,"管道泵 10x1",-
Knatte.Pipe15X.DisplayName,"管道泵 15x1",-
Knatte.Pipe.Description,"能单向运送液体，水位高于管道出口时会停止工作。<br><color=#FF6600>防洪堤部分能传输能量，最大流量每秒0.4立方米。</color><br><color=#FF0000>禁止在出口正上方一格建造防洪堤，否则会游戏崩溃。</color>",-
Knatte.PipeU5X.DisplayName,"地下管道泵 5x1",-
Knatte.PipeU10X.DisplayName,"地下管道泵 10x1",-
Knatte.PipeU15X.DisplayName,"地下管道泵 15x1",-
Knatte.PipeU.Description,"能单向运送液体，部分管道位于地下，水位高于管道出口时会停止工作。<br><color=#FF6600>防洪堤部分能传输能量，最大流量每秒0.4立方米。</color><br><color=#FF0000>禁止在出口正上方一格建造防洪堤，否则会游戏崩溃。</color>",-
Knatte.CategoryPipe.DisplayName,"管道泵",-
Knatte.CategoryPipe.Description,"能单向运送液体。",-
Knatte.CategoryPipeU.DisplayName,"地下管道泵",-
Knatte.CategoryPipeU.Description,"能单向运送液体，部分管道位于地下。",-
Knatte.CategoryHideWE.DisplayName,"未使用的水利拓展建筑",-
Knatte.Pipe1X.DisplayName,"管道泵",-
Knatte.Pipe1X.Description,"能单向运送液体，水位高于管道出口时会停止工作。<br><color=#FF6600>防洪堤部分能传输能量，最大流量每秒0.4立方米。</color><br><color=#FF0000>禁止在出口正上方一格建造防洪堤，否则会游戏崩溃。</color>",-
Knatte.PowerLevee.DisplayName,"四向传动防洪堤",-
Knatte.PowerLevee.Description,"能在四个方向上传输能量的防洪堤。",-
Knatte.DeepSeaPump.DisplayName,"水底泵",-
Knatte.DeepSeaPump.Description,"使用机器从水底抽取并过滤供海狸饮用的水。恶水污染会降低其抽取速度。<br><color=#FF6600>传动接口在圆柱两端。</color>",-
Knatte.DeepSeaPump.FlavorDescription,"喝一口来自深处的淡水，让你随时脉动回来。",-
Knatte.UPowerLevee.DisplayName,"六向传动防洪堤",-
Knatte.UPowerLevee.Description,"能在所有方向上传输能量的防洪堤。",-
Knatte.PipeH1X.DisplayName,"高位管道泵",-
Knatte.PipeH1X.Description,"能单向运送液体，出口较高，水位高于管道出口时会停止工作。<br><color=#FF6600>防洪堤部分能传输能量，最大流量每秒1.2立方米。</color><br><color=#FF0000>禁止在出口正上方一格建造防洪堤，否则会游戏崩溃。</color>",-
Knatte.LargeWaterWheelLevee.DisplayName,"防洪大水轮",-
Knatte.LargeWaterWheelLevee.Description,"在侧面支撑上加装了防洪堤的大水轮，上面可以建造平台。",-
Knatte.PipeHU5X.DisplayName,"高位地下管道泵 5x1",-
Knatte.PipeHU10X.DisplayName,"高位地下管道泵 10x1",-
Knatte.PipeHU15X.DisplayName,"高位地下管道泵 15x1",-
Knatte.PipeHU.Description,"能单向运送液体，部分管道位于地下，出口较高，水位高于管道出口时会停止工作。<br><color=#FF6600>防洪堤部分能传输能量，最大流量每秒1.2立方米。</color><br><color=#FF0000>禁止在出口正上方一格建造防洪堤，否则会游戏崩溃。</color>",-
Knatte.Valve1X.DisplayName,"单向阀",-
Knatte.Valve1X.Description,"能单向流过液体，两侧水位达到阈值或相等时会停止工作，取消水位检测可以解除部分限制。<br><color=#FF6600>最大流量可调节，上限为每秒1.5立方米，出口水位阈值为高于0.6米，进口水位阈值为低于0.2米（相对于单向阀平面）。</color>",-
Knatte.ValveH1X.DisplayName,"高位单向阀",-
Knatte.ValveH1X.Description,"能单向流过液体，出口较高，两侧水位达到阈值或相等时会停止工作，取消水位检测可以解除部分限制。<br><color=#FF6600>最大流量可调节，上限为每秒3立方米，出口水位阈值为高于1.8米，进口水位阈值为低于0.2米（相对于单向阀平面）。</color>",-
Knatte.Aqueduct_S_1X.DisplayName,"单侧水渠 1x1",-
Knatte.Aqueduct_S_5X.DisplayName,"单侧水渠 5x1",-
Knatte.Aqueduct_S.Description,"组合式的水渠结构，只有一侧有围墙。底部可以防止水渗漏。",-
Knatte.Aqueduct_S.FlavorDescription,"等待液体填充……不过要先围起来。",-
Knatte.Aqueduct_P_1X.DisplayName,"水渠 1x1",-
Knatte.Aqueduct_P_5X.DisplayName,"水渠 5x1",-
Knatte.Aqueduct_P.Description,"组合式的水渠结构，两侧都有围墙。底部可以防止水渗漏。",-
Knatte.Aqueduct_P.FlavorDescription,"等待液体填充……",-
Knatte.Aqueduct_Corner.DisplayName,"水渠外转角",-
Knatte.Aqueduct_Corner.Description,"组合式的水渠结构，用两面围墙组成外转角。底部可以防止水渗漏。",-
Knatte.Aqueduct_Corner.FlavorDescription,"左转还是右转？",-
Knatte.Aqueduct_Lid_1X.DisplayName,"水渠盖板 1x1",-
Knatte.Aqueduct_Lid_5X.DisplayName,"水渠盖板 5x1",-
Knatte.Aqueduct_Lid.Description,"水渠顶部的盖板，可以阻挡水流。",-
Knatte.Aqueduct_Lid.FlavorDescription,"嗯……水渠封起来后，是不是应该叫水管？",-
Knatte.Aqueduct_Wall.DisplayName,"装饰性水渠围墙",-
Knatte.Aqueduct_Wall.Description,"水渠侧面的围墙，但不能阻挡水流，仅供美观。",-
Knatte.Aqueduct_Wall.FlavorDescription,"这算是浪费材料吗？",-
Knatte.Aqueduct_Floor_1X1.DisplayName,"水渠地板 1x1",-
Knatte.Aqueduct_Floor_1X5.DisplayName,"水渠地板 5x1",-
Knatte.Aqueduct_Floor_2X2.DisplayName,"水渠地板 2x2",-
Knatte.Aqueduct_Floor_3X3.DisplayName,"水渠地板 3x3",-
Knatte.Aqueduct_Floor_5X5.DisplayName,"水渠地板 5x5",-
Knatte.Aqueduct_Floor.Description,"水渠底部的地板，可以防止水渗漏。",-
Knatte.Aqueduct_Floor.FlavorDescription,"所以为什么要涂成黑色？",-
Knatte.Aqueduct_Sluice.DisplayName,"水渠水闸",-
Knatte.Aqueduct_Sluice.Description,"与水渠配套的水闸，可以单向自动排水。",-
Knatte.Aqueduct_Corner_Int.DisplayName,"单侧水渠内转角",-
Knatte.Aqueduct_Corner_Int.Description,"组合式的水渠结构，用两面围墙组成内转角。底部可以防止水渗漏。",-
Knatte.Aqueduct_Corner_Int.FlavorDescription,"你选择哪边？",-
Knatte.Aqueduct_P_1X_Corner_Int.DisplayName,"水渠内转角",-
Knatte.Aqueduct_P_1X_Corner_Int.Description,"组合式的水渠结构，用三面围墙组成内转角。底部可以防止水渗漏。",-
Knatte.Aqueduct_P_1X_Corner_Int.FlavorDescription,"右转还是左转？",-
Knatte.Aqueduct_Wall2.DisplayName,"水渠围墙",-
Knatte.Aqueduct_Wall2.Description,"水渠侧面的围墙，可以阻挡水流。",-
Knatte.Aqueduct_Wall2.FlavorDescription,"把水挡在外面和围在里面好像都差不多？",-
Knatte.TurbineSmall.DisplayName,"小型涡轮机",-
Knatte.TurbineSmall.Description,"与水轮相反，只有沿转轴方向的水流才能产生能量。",-
Knatte.TurbineSmall.FlavorDescription,"有没有更大一点的？",-

#3286476486_Ladder_2.1.2
Tobbert.Ladder.DisplayName,"垂直楼梯",-
Tobbert.Ladder.Description,"里面带有爬梯的平台，能让海狸上下移动。<br><color=#FF6600>此建筑不受海狸建筑高度限制。</color>",-
Tobbert.Ladder.FlavorDiscription,"他们要怎么抱着东西爬上爬下？",-

#3287407048_Pipette_Tool_2.0.3
Tobbert.PipetteTool.DisplayName,"吸管工具",-
Tobbert.PipetteTool.Description,"点击一个建筑后，将其作为当前的待建造建筑。<br>● 快捷键：Ctrl+点击",-
Tobbert.PipetteTool.KeyBindingGroup.PipetteTool,"吸管工具",-
Tobbert.PipetteTool.KeyBinding.PipetteToolShortcut,"吸管工具",-

#3287769244_Vertical_Power_Shaft_Extension_2.0.3
Tobbert.StraightToVerticalPowerShaft.DisplayName,"能量传动轴分支接口",-
Tobbert.StraightToVerticalPowerShaft.Description,"能传输能量。可以简化分层传输所需的结构。",-
Tobbert.StraightToVerticalPowerShaft.FlavorDiscription,"工业之父咔祖柯的手稿之一，由其后人实现。",-
Tobbert.UniversalPowerShaft.DisplayName,"能量传动轴六向接口",-
Tobbert.UniversalPowerShaft.Description,"能传输能量。可以根据周围的连接情况自动调整。",-
Tobbert.UniversalPowerShaft.FlavorDiscription,"工业之父咔祖柯的手稿之一，由其后人实现。",-

#3293437485_MoreGroups_2.0.9
Knatte.Subgroup_MGShafts.DisplayName,"传动轴",-
Knatte.Subgroup_MGPower.DisplayName,"产能建筑",-
Knatte.Subgroup_MGPiles.DisplayName,"材料堆",-
Knatte.Subgroup_MGWarehouses.DisplayName,"仓库",-
Knatte.Subgroup_MGTanks.DisplayName,"储水罐",-
Knatte.Subgroup_MGStaircase.DisplayName,"楼梯",
Knatte.Subgroup_MGPlatforms.DisplayName,"木质结构",
Knatte.Subgroup_MGMetalPlatform.DisplayName,"金属结构",
Knatte.Subgroup_MGBridges.DisplayName,"吊桥",
Knatte.Subgroup_MGAqueduct.DisplayName,"水渠",
Knatte.Subgroup_MGFloodgates.DisplayName,"闸门",
Knatte.Subgroup_MGAqueduct_Floors.DisplayName,"水渠地板",
Knatte.Subgroup_MGDynamite.DisplayName,"炸弹",
Knatte.Subgroup_MGRoofs.DisplayName,"屋顶",
Knatte.Subgroup_MGOverhangs.DisplayName,"悬挑",
Knatte.Subgroup_MGBigMetalPillar.DisplayName,"承重柱",
Knatte.Subgroup_MGMetalOverhang.DisplayName,"拓展金属结构",

#3294983713_Bee_Sting_Antidote_1.0.3
Status.Need.BeeSting,"被蜜蜂蜇伤。","当海狸被蜜蜂蜇了时显示。"
Status.Need.BeeSting.Short,"海狸被蜇了","当海狸被蜜蜂蜇了时显示。请保持简短。"

#3295429291_Custom_Cursors_2.0.0
Tobbert.CustomCursors.SettingsHeader,"光标切换",-
//,//,
Tobbert.CustomCursors.SelectedCustomCursor,"选择光标形状",-

#3295782631_Bentos_0.6.5.00
Bentos.Good.FolktailsBento.DisplayName,"营养便当",
Bentos.Good.FolktailsBento.PluralDisplayName,"营养便当",
Bentos.Good.IronTeethBento.DisplayName,"营养罐头",
Bentos.Good.IronTeethBento.PluralDisplayName,"营养罐头",
Bentos.Recipe.FolktailsBentos,"营养便当",
Bentos.Recipe.IronTeethBentos,"营养罐头",

#3296543474_DamDecoration_3.0.8
Knatte.Corner.DisplayName,"三棱锥装饰块 1x1",-
Knatte.Corner.Description,"不同形状的装饰块，不能阻断水流。",-
Knatte.Corner.FlavorDescription,"可千万不能摔在这上面。",-
//,//,
Knatte.SQCorner.DisplayName,"四棱锥装饰块 1x1",-
Knatte.SQCorner.Description,"不同形状的装饰块，不能阻断水流。",-
Knatte.SQCorner.FlavorDescription,"可千万不能摔在这上面。",-
//,//,
Knatte.Diagonal.DisplayName,"三棱柱装饰块",-
Knatte.Diagonal.Description,"不同形状的装饰块，不能阻断水流。",-
Knatte.Diagonal.FlavorDescription,"体积减半，所以材料也减半。",-
//,//,
Knatte.DiagonalS.DisplayName,"带平台三棱柱装饰块",-
Knatte.DiagonalS.Description,"不同形状的装饰块，顶部有平台，不能阻断水流。",-
